nao terminal,follow
MAIN,$
NUMEXPR,"), ;, <, <=, <>, ==, >, >=, id"
EXPR',"), ;, id"
RETURNID,;
RETURNST,;
FACTOR,"), *, +, -, /, ;, <, <=, <>, ==, >, >=, id"
TERM,"), +, -, ;, <, <=, <>, ==, >, >=, id"
TERM',"), +, -, ;, <, <=, <>, ==, >, >=, id"
EXPR,"), ;, id"
STMT,"$, ;, else, id, if, int, print, return, {, }"
STMTLIST',}
PARLIST,)
STMTLIST,}
VARLIST',;
PARLIST',)
MAIN',$
FLIST,"$, ;, id, if, int, print, return, {"
ELSEPART,"$, ;, else, id, if, int, print, return, {, }"
ELSEBODY,"$, ;, else, id, if, int, print, return, {, }"
FACTOR',"), *, +, -, /, ;, <, <=, <>, ==, >, >=, id"
PARLISTCALL',)
PARLISTCALL,)
VARLIST,;
NUMEXPR',"), ;, <, <=, <>, ==, >, >=, id"
ATRIBST,;
ATRIBEXPR,;
FCALL,;
FDEF,"$, ;, def, id, if, int, print, return, {"
FLIST',"$, ;, id, if, int, print, return, {"
PRINTST,;
IFSTMT,"$, ;, else, id, if, int, print, return, {, }"
