,<,<=,>,>=,==,<>,id,;,),return,print,int,if,},$,{,else,(,num,def,",",+,-,*,/
EXPR',"<, NUMEXPR","<=, NUMEXPR",">, NUMEXPR",">=, NUMEXPR","==, NUMEXPR","<>, NUMEXPR",ε,ε,ε,,,,,,,,,,,,,,,,
RETURNST,,,,,,,,,,"return, RETURNID",,,,,,,,,,,,,,,
ELSEBODY,,,,,,,ε,ε,,ε,ε,ε,ε,ε,ε,ε,ε,,,,,,,,
TERM,,,,,,,"FACTOR, TERM'",,,,,,,,,,,"FACTOR, TERM'","FACTOR, TERM'",,,,,,
EXPR,,,,,,,"NUMEXPR, EXPR'",,,,,,,,,,,"NUMEXPR, EXPR'","NUMEXPR, EXPR'",,,,,,
STMTLIST',,,,,,,"STMT, STMTLIST'","STMT, STMTLIST'",,"STMT, STMTLIST'","STMT, STMTLIST'","STMT, STMTLIST'","STMT, STMTLIST'",ε,,"STMT, STMTLIST'",,,,,,,,,
FDEF,,,,,,,,,,,,,,,,,,,,"def, id, (, PARLIST, ), {, STMTLIST, }",,,,,
VARLIST',,,,,,,,ε,,,,,,,,,,,,,",, id, VARLIST'",,,,
PARLIST,,,,,,,,,ε,,,"int, id, PARLIST'",,,,,,,,,,,,,
MAIN',,,,,,,STMT,STMT,,STMT,STMT,STMT,STMT,,ε,STMT,,,,,,,,,
MAIN,,,,,,,,,,,,,,,,,,,,"FLIST, MAIN'",,,,,
ELSEPART,,,,,,,,,,,,,,,,,"else, STMT, ELSEBODY",,,,,,,,
FACTOR,,,,,,,"id, FACTOR'",,,,,,,,,,,"(, EXPR, )",num,,,,,,
PARLISTCALL,,,,,,,"id, PARLISTCALL'",,,,,,,,,,,,,,,,,,
VARLIST,,,,,,,"id, VARLIST'",,,,,,,,,,,,,,,,,,
NUMEXPR',ε,ε,ε,ε,ε,ε,ε,ε,ε,,,,,,,,,,,,,"+, TERM, NUMEXPR'","-, TERM, NUMEXPR'",,
ATRIBST,,,,,,,"id, :=, EXPR, ATRIBEXPR",,,,,,,,,,,,,,,,,,
PARLISTCALL',,,,,,,,,ε,,,,,,,,,,,,",, id, PARLISTCALL'",,,,
ATRIBEXPR,,,,,,,FCALL,ε,,,,,,,,,,,,,,,,,
STMTLIST,,,,,,,"STMT, STMTLIST'","STMT, STMTLIST'",,"STMT, STMTLIST'","STMT, STMTLIST'","STMT, STMTLIST'","STMT, STMTLIST'",,,"STMT, STMTLIST'",,,,,,,,,
NUMEXPR,,,,,,,"TERM, NUMEXPR'",,,,,,,,,,,"TERM, NUMEXPR'","TERM, NUMEXPR'",,,,,,
FLIST,,,,,,,,,,,,,,,,,,,,"FDEF, FLIST'",,,,,
FACTOR',ε,ε,ε,ε,ε,ε,ε,ε,ε,,,,,,,,,"(, PARLISTCALL, )",,,,ε,ε,ε,ε
TERM',ε,ε,ε,ε,ε,ε,ε,ε,ε,,,,,,,,,,,,,ε,ε,"*, FACTOR, TERM'","/, FACTOR, TERM'"
PARLIST',,,,,,,,,ε,,,,,,,,,,,,",, int, id, PARLIST'",,,,
PRINTST,,,,,,,,,,,"print, EXPR",,,,,,,,,,,,,,
RETURNID,,,,,,,id,ε,,,,,,,,,,,,,,,,,
FCALL,,,,,,,"id, (, PARLISTCALL, )",,,,,,,,,,,,,,,,,,
STMT,,,,,,,"ATRIBST, ;",;,,"RETURNST, ;","PRINTST, ;","int, VARLIST, ;",IFSTMT,,,"{, STMTLIST, }",,,,,,,,,
IFSTMT,,,,,,,,,,,,,"if, (, EXPR, ), STMT, ELSEPART",,,,,,,,,,,,
FLIST',,,,,,,ε,ε,,ε,ε,ε,ε,,ε,ε,,,,"FDEF, FLIST'",,,,,
