Não Terminal,FIRST
/,/
<,<
:=,:=
+,+
def,def
},}
",",","
else,else
-,-
num,num
<=,<=
{,{
return,return
<>,<>
>=,>=
==,==
),)
*,*
;,;
int,int
(,(
if,if
>,>
id,id
print,print
STMT,";, id, if, int, print, return, {"
ATRIBST,id
PRINTST,print
RETURNST,return
IFSTMT,if
FLIST,def
FDEF,def
TERM',"*, /, ε"
ELSEPART,else
MAIN',";, id, if, int, print, return, {, ε"
PARLISTCALL,id
ELSEBODY,ε
FACTOR,"(, id, num"
ATRIBEXPR,"id, ε"
FCALL,id
FACTOR',"(, ε"
PARLIST,"int, ε"
TERM,"(, id, num"
VARLIST,id
STMTLIST',";, id, if, int, print, return, {, ε"
NUMEXPR,"(, id, num"
MAIN,def
EXPR,"(, id, num"
PARLIST',",, ε"
EXPR',"<, <=, <>, ==, >, >=, ε"
NUMEXPR',"+, -, ε"
PARLISTCALL',",, ε"
FLIST',"def, ε"
VARLIST',",, ε"
STMTLIST,";, id, if, int, print, return, {"
RETURNID,"id, ε"
