Não Terminal,FOLLOW
MAIN,$
VARLIST,;
ATRIBST,;
PRINTST,;
RETURNST,;
IFSTMT,"$, ;, else, id, if, int, print, return, {, }"
STMT,"$, ;, else, id, if, int, print, return, {, }"
STMTLIST,}
FDEF,"$, ;, def, id, if, int, print, return, {"
FLIST,"$, ;, id, if, int, print, return, {"
FLIST',"$, ;, id, if, int, print, return, {"
FACTOR,"), *, +, -, /, ;, <, <=, <>, ==, >, >=, id"
TERM',"), +, -, ;, <, <=, <>, ==, >, >=, id"
EXPR,"), ;, id"
ELSEPART,"$, ;, else, id, if, int, print, return, {, }"
ELSEBODY,"$, ;, else, id, if, int, print, return, {, }"
RETURNID,;
MAIN',$
PARLISTCALL',)
PARLISTCALL,)
ATRIBEXPR,;
FACTOR',"), *, +, -, /, ;, <, <=, <>, ==, >, >=, id"
FCALL,;
PARLIST',)
PARLIST,)
TERM,"), +, -, ;, <, <=, <>, ==, >, >=, id"
VARLIST',;
STMTLIST',}
NUMEXPR,"), ;, <, <=, <>, ==, >, >=, id"
NUMEXPR',"), ;, <, <=, <>, ==, >, >=, id"
EXPR',"), ;, id"
