Não Terminal,$,(,),*,+,",",-,/,;,<,<=,<>,==,>,>=,def,else,id,if,int,num,print,return,{,}
STMT,,,,,,,,,;,,,,,,,,,ATRIBST ;,IFSTMT,int VARLIST ;,,PRINTST ;,RETURNST ;,{ STMTLIST },
FLIST,,,,,,,,,,,,,,,,FDEF FLIST',,,,,,,,,
TERM',,,ε,* FACTOR TERM',ε,,ε,/ FACTOR TERM',ε,ε,ε,ε,ε,ε,ε,,,ε,,,,,,,
IFSTMT,,,,,,,,,,,,,,,,,,,if ( EXPR ) STMT ELSEPART,,,,,,
ELSEPART,,,,,,,,,,,,,,,,,else STMT ELSEBODY,,,,,,,,
RETURNST,,,,,,,,,,,,,,,,,,,,,,,return RETURNID,,
MAIN',ε,,,,,,,,STMT,,,,,,,,,STMT,STMT,STMT,,STMT,STMT,STMT,
PRINTST,,,,,,,,,,,,,,,,,,,,,,print EXPR,,,
PARLISTCALL,,,,,,,,,,,,,,,,,,id PARLISTCALL',,,,,,,
ATRIBST,,,,,,,,,,,,,,,,,,id := EXPR ATRIBEXPR,,,,,,,
ELSEBODY,ε,,,,,,,,ε,,,,,,,,ε,ε,ε,ε,,ε,ε,ε,ε
FACTOR,,( EXPR ),,,,,,,,,,,,,,,,id FACTOR',,,num,,,,
ATRIBEXPR,,,,,,,,,ε,,,,,,,,,FCALL,,,,,,,
FACTOR',,( PARLISTCALL ),ε,ε,ε,,ε,ε,ε,ε,ε,ε,ε,ε,ε,,,ε,,,,,,,
PARLIST,,,ε,,,,,,,,,,,,,,,,,int id PARLIST',,,,,
TERM,,FACTOR TERM',,,,,,,,,,,,,,,,FACTOR TERM',,,FACTOR TERM',,,,
VARLIST,,,,,,,,,,,,,,,,,,id VARLIST',,,,,,,
STMTLIST',,,,,,,,,STMT STMTLIST',,,,,,,,,STMT STMTLIST',STMT STMTLIST',STMT STMTLIST',,STMT STMTLIST',STMT STMTLIST',STMT STMTLIST',ε
NUMEXPR,,TERM NUMEXPR',,,,,,,,,,,,,,,,TERM NUMEXPR',,,TERM NUMEXPR',,,,
MAIN,,,,,,,,,,,,,,,,FLIST MAIN',,,,,,,,,
EXPR,,NUMEXPR EXPR',,,,,,,,,,,,,,,,NUMEXPR EXPR',,,NUMEXPR EXPR',,,,
PARLIST',,,ε,,,", int id PARLIST'",,,,,,,,,,,,,,,,,,,
EXPR',,,ε,,,,,,ε,< NUMEXPR,<= NUMEXPR,<> NUMEXPR,== NUMEXPR,> NUMEXPR,>= NUMEXPR,,,ε,,,,,,,
NUMEXPR',,,ε,,+ TERM NUMEXPR',,- TERM NUMEXPR',,ε,ε,ε,ε,ε,ε,ε,,,ε,,,,,,,
PARLISTCALL',,,ε,,,", id PARLISTCALL'",,,,,,,,,,,,,,,,,,,
FCALL,,,,,,,,,,,,,,,,,,id ( PARLISTCALL ),,,,,,,
FLIST',ε,,,,,,,,ε,,,,,,,FDEF FLIST',,ε,ε,ε,,ε,ε,ε,
FDEF,,,,,,,,,,,,,,,,def id ( PARLIST ) { STMTLIST },,,,,,,,,
VARLIST',,,,,,", id VARLIST'",,,ε,,,,,,,,,,,,,,,,
STMTLIST,,,,,,,,,STMT STMTLIST',,,,,,,,,STMT STMTLIST',STMT STMTLIST',STMT STMTLIST',,STMT STMTLIST',STMT STMTLIST',STMT STMTLIST',
RETURNID,,,,,,,,,ε,,,,,,,,,id,,,,,,,
